SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
SETFGOLD,2.48,0.76,-1.72,down
SETUINFRA,5.0,-2.38,-7.38,down
SEYAIND,1.67,-1.88,-3.55,down
SFML,6.58,-0.43,-7.01,down
SGBAPR28I,2.29,0.66,-1.63,down
SGBAUG27,2.46,0.27,-2.19,down
SGBAUG28V,2.25,0.65,-1.6,down
SGBAUG29V,2.61,0.23,-2.38,down
SGBAUG30,1.94,0.95,-0.99,down
SGBDC27VII,3.26,0.0,-3.26,down
SGBDE30III,2.02,0.58,-1.44,down
SGBDE31III,2.13,0.18,-1.95,down
SGBFEB28IX,2.78,0.29,-2.4899999999999998,down
SGBFEB29XI,1.95,-0.2,-2.15,down
SGBFEB32IV,2.26,-0.07,-2.3299999999999996,down
SGBJ28VIII,2.79,-0.27,-3.06,down
SGBJAN29IX,1.76,0.7,-1.06,down
SGBJUL28IV,1.84,0.79,-1.05,down
SGBJUL29IV,2.21,0.79,-1.42,down
SGBJUN28,2.06,0.57,-1.4900000000000002,down
SGBJUN29II,3.6,0.3,-3.3000000000000003,down
SGBJUN30,1.98,0.41,-1.57,down
SGBJUN31I,1.54,0.43,-1.11,down
SGBMAR28X,2.26,0.81,-1.4499999999999997,down
SGBMAR30X,1.97,0.65,-1.3199999999999998,down
SGBMAR31IV,1.88,0.41,-1.47,down
SGBMAY29I,2.05,0.81,-1.2399999999999998,down
SGBMR29XII,2.2,0.84,-1.3600000000000003,down
SGBNV29VII,2.46,0.78,-1.68,down
SGBSEP27,2.4,0.37,-2.03,down
SGBSEP28VI,2.34,0.78,-1.5599999999999998,down
SGBSEP31II,1.77,0.45,-1.32,down
SGFIN,2.25,-2.17,-4.42,down
SGMART,1.08,-0.11,-1.1900000000000002,down
SHAHALLOYS,1.42,-0.66,-2.08,down
SHAILY,5.99,-6.06,-12.05,down
SHALPAINTS,2.3,-4.2,-6.5,down
SHARDAMOTR,3.64,0.77,-2.87,down
SHEMAROO,1.12,-3.83,-4.95,down
SHERA,1.08,-0.83,-1.9100000000000001,down
SHIVALIK,2.98,-2.01,-4.99,down
SHK,1.92,-0.89,-2.81,down
SHOPERSTOP,3.31,0.13,-3.18,down
SHREEDHAR,4.23,-1.32,-5.550000000000001,down
SHREEJISPG,1.75,-0.07,-1.82,down
SHREEOSFM,5.26,,,flat
SHREEPUSHK,1.99,-4.16,-6.15,down
SHRIKANHA,4.88,0.44,-4.4399999999999995,down
SHRIRAMFIN,1.66,-2.28,-3.9399999999999995,down
SHYAMTEL,2.85,-4.37,-7.220000000000001,down
SICALLOG,4.09,-1.24,-5.33,down
SIGIND,14.06,-3.2,-17.26,down
